"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100629",1007.86376432278,-0.111486116192596,0.132941190276198,-0.838612291352085,0.401686910997691,0.771592252630526
"ENSG00000121579",4044.99436515953,-0.0450181813440594,0.0537135599689558,-0.838115763879327,0.401965690272139,0.771907272153095
"ENSG00000169857",215.392954957314,-0.155642500581385,0.185699314506924,-0.838142569317786,0.401950637183552,0.771907272153095
"ENSG00000270820",40.8231149776642,-0.348712766905394,0.416455425986421,-0.837335150765365,0.402404206282726,0.772112817602022
"ENSG00000177932",57.1035926319051,-0.277241415538371,0.330936426402263,-0.837748260451014,0.402172102704175,0.772112817602022
"ENSG00000155957",73.9785940968755,-0.255984763633392,0.305708399702343,-0.837349460736556,0.402396164955405,0.772112817602022
"ENSG00000140280",288.517367469985,-0.131591737124779,0.157178899176568,-0.837209942391532,0.402474569829574,0.772112817602022
"ENSG00000181045",135.009947140275,0.205294943372642,0.245202470857779,0.837246633993817,0.402453949428021,0.772112817602022
"ENSG00000105136",128.837395669571,0.207287568242397,0.247545336423355,0.837372140543547,0.40238342049039,0.772112817602022
"ENSG00000105397",988.94841659802,-0.0924031627037089,0.110330236048857,-0.837514411396626,0.402303479744513,0.772112817602022
"ENSG00000075420",983.698003332528,0.0970945679197779,0.116000071075691,0.837021624378339,0.402580413089814,0.772205726762407
"ENSG00000174574",873.980581160367,-0.0762202508221817,0.091421416614414,-0.833724237107964,0.40443639699471,0.772327998200735
"ENSG00000186301",38.7125127822853,0.794838849071031,0.951259418011321,0.835564761852977,0.403399799611111,0.772327998200735
"ENSG00000203666",701.986633419656,-0.124629079527267,0.149029419253519,-0.836271657982216,0.403002093725301,0.772327998200735
"ENSG00000138032",67.6067326191944,-0.226123665953269,0.270951183780136,-0.834555002855264,0.403968306309776,0.772327998200735
"ENSG00000168906",6302.14079165675,0.0634853867737358,0.0760215104255256,0.835097677201892,0.40366271441192,0.772327998200735
"ENSG00000171150",311.425326064897,0.158716826652976,0.190167009713299,0.834618091183439,0.403932772768537,0.772327998200735
"ENSG00000260236",147.590583783599,-0.182545248887611,0.21864261148732,-0.834902435741343,0.403772643241382,0.772327998200735
"ENSG00000163694",881.032254498079,-0.0825198009401375,0.0987550963409654,-0.835600429725942,0.403379726927291,0.772327998200735
"ENSG00000152669",102.643988922091,0.204607393238204,0.245238484011079,0.834320086683298,0.404100635723725,0.772327998200735
"ENSG00000050748",1443.72937209761,0.0604826177372746,0.0724580463920152,0.834726034566945,0.403871979638863,0.772327998200735
"ENSG00000246334",71.3741613243058,0.237496742726347,0.284279406590983,0.835434214438383,0.403473272423681,0.772327998200735
"ENSG00000178409",179.28766934102,-0.171255665434184,0.205079652909307,-0.835069023204946,0.403678846647648,0.772327998200735
"ENSG00000146576",241.548687250353,0.148688149452365,0.178362068882356,0.83363099780165,0.404488952446496,0.772327998200735
"ENSG00000119125",5700.51485677274,0.0616766551836939,0.0739514948210812,0.834014989594394,0.404272537106352,0.772327998200735
"ENSG00000137714",411.243356010473,-0.114316416749215,0.136708118415267,-0.836207959515363,0.403037921400052,0.772327998200735
"ENSG00000126432",14575.1432913018,-0.0632419138127895,0.0756601764507485,-0.835867913339552,0.40322921517783,0.772327998200735
"ENSG00000159063",398.832254219395,0.110162037060529,0.131818297092789,0.835711274459751,0.403317351043485,0.772327998200735
"ENSG00000064309",48.08867663445,-0.286696014018088,0.342737179731621,-0.836489388873959,0.402879643782599,0.772327998200735
"ENSG00000174516",521.755065093204,-0.0977608766644872,0.116836268119597,-0.836733988836549,0.402742109507712,0.772327998200735
"ENSG00000023697",480.670400858728,0.0998091963927966,0.119393673455154,0.835967212536486,0.403173348558897,0.772327998200735
"ENSG00000255992",36.87223003465,-0.36725455848661,0.440025554774603,-0.834620977126503,0.403931147349753,0.772327998200735
"ENSG00000120820",519.596028925777,-0.0954055881251987,0.11445694290533,-0.833550029412464,0.404534594562946,0.772327998200735
"ENSG00000119705",2377.35677461383,0.0910817982396621,0.109236198865775,0.833806001905832,0.404390312649129,0.772327998200735
"ENSG00000166831",147.398496856396,0.192544448025191,0.230755167385953,0.834410124836546,0.404049913731519,0.772327998200735
"ENSG00000185787",13073.9006989298,-0.0401375205791199,0.0481529639215381,-0.83354205661195,0.404539089020385,0.772327998200735
"ENSG00000174444",38438.3066678033,0.0492000174830789,0.0589886059348891,0.834059674802033,0.404247357307677,0.772327998200735
"ENSG00000166147",2599.05049180564,-0.141658272384473,0.169508969918397,-0.835697794946594,0.40332493608891,0.772327998200735
"ENSG00000197063",1218.57208144711,0.0804048564354394,0.0964431344710614,0.833702231645795,0.404448800268731,0.772327998200735
"ENSG00000108641",568.570642058603,0.0990940538768546,0.118489614082362,0.836310039865388,0.402980506472094,0.772327998200735
"ENSG00000213977",32.3856803056746,-0.343330768769271,0.411468839741885,-0.834402840770743,0.404054016987309,0.772327998200735
"ENSG00000198816",69.5310117443824,-0.299445914592195,0.358962630873053,-0.834198016277896,0.404169408813843,0.772327998200735
"ENSG00000130311",2115.53913888864,-0.0623778236306822,0.074738154865963,-0.834618191237821,0.403932716415914,0.772327998200735
"ENSG00000100350",740.721134981487,-0.100646555932591,0.120586021026634,-0.83464530196548,0.403917447286951,0.772327998200735
"ENSG00000255284",448.709772021965,-0.115778439536555,0.138923361537724,-0.833397912741377,0.404620351502986,0.772373506630026
"ENSG00000057935",672.012444137236,0.0808037921933844,0.09700854264834,0.832955428330693,0.404869867292155,0.772581573279229
"ENSG00000001630",216.227264982152,0.182231820638049,0.218792209917194,0.832899035605602,0.404901673609315,0.772581573279229
"ENSG00000147416",782.45772133717,0.100586924045702,0.120746159360542,0.833044500780804,0.404819632178291,0.772581573279229
"ENSG00000134962",46.165447978695,0.274894097741223,0.330235661200167,0.832417967042635,0.405173064004525,0.772890032503955
"ENSG00000106263",10524.4169478566,-0.0471927516291632,0.0566942037972014,-0.832408755540064,0.405178261649471,0.772890032503955
"ENSG00000271918",45.6364354593686,-0.295245981632884,0.354770779478786,-0.832216176503166,0.405286934639024,0.772896015707315
"ENSG00000276488",57.1275955066273,0.314347005250062,0.377730330913972,0.832199533697638,0.405296327047114,0.772896015707315
"ENSG00000166801",1924.62076368196,-0.064484502621745,0.0775178665322911,-0.831866323293135,0.405484402529572,0.773145054440424
"ENSG00000127481",6840.34087597194,-0.11082021248409,0.13323785933412,-0.831747170345833,0.40555166923224,0.773163706757424
"ENSG00000133316",1090.57484997937,0.0961555841367562,0.115658235592605,0.831376889367868,0.40576075050854,0.773452677769255
"ENSG00000167136",123.050509413744,-0.184372454053494,0.221807544719483,-0.831227153641991,0.405845317924168,0.77350425479383
"ENSG00000273559",2320.77426975396,0.403274236978951,0.485340581720109,0.830909782053865,0.406024597154541,0.773736303730316
"ENSG00000179021",219.383821546751,-0.130670617559262,0.157301497006371,-0.830701678280717,0.406142178033788,0.773741118208846
"ENSG00000119471",2078.55226201132,0.0783641081368381,0.0943331607890618,0.83071644670179,0.406133833046248,0.773741118208846
"ENSG00000137073",1789.94136310401,-0.0801394571421034,0.096495288091031,-0.830501247547984,0.406255442780099,0.773847288683236
"ENSG00000162377",2536.17496128658,0.0597683036257744,0.0720007608544726,0.830106556048451,0.406478540706426,0.774051872985318
"ENSG00000125450",989.345780209199,-0.0863227488066046,0.10400258334437,-0.830005813613069,0.406535496711396,0.774051872985318
"ENSG00000197808",30.5920941304461,0.439215365054309,0.52913051898018,0.830069990861292,0.406499212745002,0.774051872985318
"ENSG00000137962",1553.33706116816,-0.0776106955333199,0.0935983748908796,-0.829188494178465,0.406997754594124,0.774661936157717
"ENSG00000136518",5751.45559978827,0.0615938255707388,0.0742807747374094,0.829202788857273,0.406989667145574,0.774661936157717
"ENSG00000225031",500.152592476666,0.112081008284463,0.13517843125682,0.829133814044087,0.407028691659969,0.774661936157717
"ENSG00000146085",830.395572494145,0.0736865162887955,0.0889300038824585,0.82859004916034,0.407336420666609,0.774809059251293
"ENSG00000135378",331.868409442395,-0.136936636905356,0.165217357559756,-0.828827182130839,0.4072022046317,0.774809059251293
"ENSG00000136156",2492.28471960295,-0.0577033651089057,0.069634705254001,-0.828658136749853,0.407297880743766,0.774809059251293
"ENSG00000166816",144.386730909431,0.194605880792759,0.234816470018649,0.828757372842303,0.407241713588561,0.774809059251293
"ENSG00000287315",290.239335081038,0.131971849966151,0.159367164730272,0.828099377870668,0.40761422182341,0.775040233134596
"ENSG00000235501",41.0333193609934,-0.321245790436695,0.388236241131809,-0.827449260018025,0.407982470012777,0.775040233134596
"ENSG00000094975",685.257412563288,-0.0810474001264292,0.0979703729547332,-0.827264382915811,0.40808722668819,0.775040233134596
"ENSG00000170271",95.1300702477776,0.207127729875112,0.250166139311387,0.827960692223399,0.407692761318404,0.775040233134596
"ENSG00000102265",1671.58518813599,0.0685076699854357,0.0828048623125072,0.827338734371496,0.408045095091923,0.775040233134596
"ENSG00000164934",1504.6360187336,0.0829122375162843,0.100161780578478,0.827783182741263,0.407793300417994,0.775040233134596
"ENSG00000234705",31.9785094388435,-0.369356795353623,0.446323590453286,-0.827553826985717,0.407923226460588,0.775040233134596
"ENSG00000166189",483.999900051697,-0.110646533864306,0.133763394486041,-0.827180965984322,0.408134498363001,0.775040233134596
"ENSG00000151287",137.02206409182,-0.162761096455826,0.196549329591377,-0.828092859915647,0.407617912824562,0.775040233134596
"ENSG00000133121",179.557616970434,-0.141619604762542,0.171112112278977,-0.827642198301241,0.407873162728078,0.775040233134596
"ENSG00000083457",556.359456696436,0.0981690706283279,0.118572474972467,0.827924614469955,0.40771319410008,0.775040233134596
"ENSG00000158201",189.84461344504,-0.157345479912617,0.190224995245937,-0.827154600315217,0.408149440244784,0.775040233134596
"ENSG00000175793",10127.3356792478,0.05679044211748,0.0686735917802033,0.826961873484693,0.408258671777599,0.775080523316657
"ENSG00000166275",57.8354375517338,0.313705814701122,0.379441223145125,0.826757335697127,0.408374616434623,0.775080523316657
"ENSG00000107651",1137.68981067018,-0.0775266478125445,0.0937772620733711,-0.826710506347348,0.408401164962465,0.775080523316657
"ENSG00000151413",172.992617537537,0.176159987649339,0.21303348114315,0.826912214474711,0.408286819770557,0.775080523316657
"ENSG00000088888",1224.47724075419,0.0641282356340698,0.0775870475507974,0.826532748163721,0.408501949112074,0.775162417544779
"ENSG00000121644",316.563046030594,0.116870585694271,0.141669488218741,0.824952409751208,0.409398609784714,0.775223328397073
"ENSG00000122482",1187.49044807803,0.0797729463283886,0.0966875896118115,0.825058796570138,0.409338210744666,0.775223328397073
"ENSG00000138430",2221.31090188466,-0.0646882755589201,0.0783426027948638,-0.825710063888266,0.408968582004202,0.775223328397073
"ENSG00000113389",771.053161105115,0.120295599016965,0.145635667639338,0.826003691038607,0.408801998015054,0.775223328397073
"ENSG00000157224",257.312766706881,0.161973478296255,0.196324734530574,0.825028383120163,0.409355476846171,0.775223328397073
